"kind","name","parent","detail"
"argument","x","ferx_model_set_section",""
"argument","section","ferx_model_set_section",""
"argument","lines","ferx_model_set_section",""
"export","ferx_model_show","",""
"argument","path","ferx_model_show",""
"export","ferx_model_to_frem","",""
"argument","model","ferx_model_to_frem",""
"argument","data","ferx_model_to_frem",""
"argument","covariates","ferx_model_to_frem",""
"argument","output_dir","ferx_model_to_frem",""
"argument","output_model","ferx_model_to_frem",""
"argument","output_data","ferx_model_to_frem",""
"argument","fit","ferx_model_to_frem",""
"export","ferx_model_validate","",""
"argument","path","ferx_model_validate",""
"argument","data","ferx_model_validate",""
"export","ferx_modelsearch","",""
"argument","model","ferx_modelsearch",""
"argument","data","ferx_modelsearch",""
"argument","search_space","ferx_modelsearch",""
"argument","config","ferx_modelsearch",""
"argument","algorithm","ferx_modelsearch",""
"argument","iiv_strategy","ferx_modelsearch",""
"argument","rank","ferx_modelsearch",""
"argument","cutoff","ferx_modelsearch",""
"argument","threads","ferx_modelsearch",""
"argument","retries","ferx_modelsearch",""
"argument","directory","ferx_modelsearch",""
"argument","resume","ferx_modelsearch",""
"argument","progress","ferx_modelsearch",""
"export","ferx_predict","",""
"argument","model","ferx_predict",""
"argument","data","ferx_predict",""
"argument","fit","ferx_predict",""
"export","ferx_predict_survival","",""
"argument","model","ferx_predict_survival",""
"argument","data","ferx_predict_survival",""
"argument","times","ferx_predict_survival",""
"argument","fit","ferx_predict_survival",""
"export","ferx_runlog","",""
"argument","fit","ferx_runlog",""
"argument","gradient_tol","ferx_runlog",""
"argument","show_iterations","ferx_runlog",""
"argument","verbose","ferx_runlog",""
"export","ferx_runlog_iters","",""
"argument","fit","ferx_runlog_iters",""
"argument","verbose","ferx_runlog_iters",""
"export","ferx_ruvsearch","",""
"argument","model","ferx_ruvsearch",""
"argument","data","ferx_ruvsearch",""
"argument","config","ferx_ruvsearch",""
"argument","groups","ferx_ruvsearch",""
"argument","p_value","ferx_ruvsearch",""
"argument","skip","ferx_ruvsearch",""
"argument","max_iter","ferx_ruvsearch",""
"argument","cwres_prescreen","ferx_ruvsearch",""
"argument","threads","ferx_ruvsearch",""
"argument","retries","ferx_ruvsearch",""
"argument","directory","ferx_ruvsearch",""
"argument","resume","ferx_ruvsearch",""
"argument","progress","ferx_ruvsearch",""
"export","ferx_save_fit","",""
"argument","fit","ferx_save_fit",""
"argument","output","ferx_save_fit",""
"argument","include_data","ferx_save_fit",""
"export","ferx_se","",""
"argument","fit","ferx_se",""
"argument","param","ferx_se",""
"export","ferx_search_config","",""
"argument","path","ferx_search_config",""
"export","ferx_search_coverage","",""
"argument","space","ferx_search_coverage",""
