"kind","name","parent","home"
"argument","progress","ferx_covsearch","09-model-selection"
"export","ferx_example","","02-complete-analysis"
"argument","name","ferx_example","02-complete-analysis"
"export","ferx_fit","","05-first-fit"
"argument","model","ferx_fit","05-first-fit"
"argument","data","ferx_fit","05-first-fit"
"argument","method","ferx_fit","06-estimation-methods"
"argument","covariance","ferx_fit","05-first-fit"
"argument","verbose","ferx_fit","05-first-fit"
"argument","bloq_method","ferx_fit","19-censoring"
"argument","threads","ferx_fit","06-estimation-methods"
"argument","mu_referencing","ferx_fit","16-variability"
"argument","sir","ferx_fit","10-uncertainty"
"argument","gradient","ferx_fit","06-estimation-methods"
"argument","optimizer_trace","ferx_fit","06-estimation-methods"
"argument","scale_params","ferx_fit","16-variability"
"argument","inits_from_nca","ferx_fit","05-first-fit"
"argument","fd_hessian_step","ferx_fit","10-uncertainty"
"argument","settings","ferx_fit","06-estimation-methods"
"argument","output","ferx_fit","13-reproducibility"
"argument","include_data","ferx_fit","13-reproducibility"
"argument","ignore","ferx_fit","03-data"
"argument","accept","ferx_fit","03-data"
"argument","ignore_ids","ferx_fit","03-data"
"export","ferx_fit_async","","06-estimation-methods"
"argument","model","ferx_fit_async","06-estimation-methods"
"argument","data","ferx_fit_async","06-estimation-methods"
"argument","tail_n","ferx_fit_async","06-estimation-methods"
"argument","poll_interval","ferx_fit_async","06-estimation-methods"
"export","ferx_gam_screen","","17-covariates"
"argument","fit","ferx_gam_screen","17-covariates"
"argument","etas","ferx_gam_screen","17-covariates"
"argument","covariates","ferx_gam_screen","17-covariates"
"argument","spline_df","ferx_gam_screen","17-covariates"
"argument","include_linear","ferx_gam_screen","17-covariates"
"argument","shrinkage_warn","ferx_gam_screen","17-covariates"
"export","ferx_get_columns","","03-data"
"argument","data","ferx_get_columns","03-data"
"export","ferx_get_warnings","","05-first-fit"
"argument","fit","ferx_get_warnings","05-first-fit"
"argument","as_df","ferx_get_warnings","05-first-fit"
"export","ferx_globalsearch","","09-model-selection"
"argument","model","ferx_globalsearch","09-model-selection"
"argument","data","ferx_globalsearch","09-model-selection"
"argument","search_space","ferx_globalsearch","09-model-selection"
"argument","config","ferx_globalsearch","09-model-selection"
"argument","algorithm","ferx_globalsearch","09-model-selection"
"argument","iiv_strategy","ferx_globalsearch","09-model-selection"
"argument","max_models","ferx_globalsearch","09-model-selection"
"argument","ga","ferx_globalsearch","09-model-selection"
"argument","penalties","ferx_globalsearch","09-model-selection"
"argument","rank","ferx_globalsearch","09-model-selection"
"argument","cutoff","ferx_globalsearch","09-model-selection"
"argument","threads","ferx_globalsearch","09-model-selection"
"argument","retries","ferx_globalsearch","09-model-selection"
"argument","directory","ferx_globalsearch","09-model-selection"
"argument","resume","ferx_globalsearch","09-model-selection"
"argument","progress","ferx_globalsearch","09-model-selection"
"export","ferx_iivsearch","","09-model-selection"
"argument","model","ferx_iivsearch","09-model-selection"
"argument","data","ferx_iivsearch","09-model-selection"
"argument","search_space","ferx_iivsearch","09-model-selection"
"argument","config","ferx_iivsearch","09-model-selection"
"argument","algorithm","ferx_iivsearch","09-model-selection"
"argument","correlation_algorithm","ferx_iivsearch","09-model-selection"
"argument","as_fullblock","ferx_iivsearch","09-model-selection"
"argument","block_retries","ferx_iivsearch","09-model-selection"
"argument","rank","ferx_iivsearch","09-model-selection"
"argument","cutoff","ferx_iivsearch","09-model-selection"
"argument","threads","ferx_iivsearch","09-model-selection"
"argument","retries","ferx_iivsearch","09-model-selection"
"argument","directory","ferx_iivsearch","09-model-selection"
"argument","resume","ferx_iivsearch","09-model-selection"
"argument","progress","ferx_iivsearch","09-model-selection"
"export","ferx_inits_from_nca","","05-first-fit"
"argument","model","ferx_inits_from_nca","05-first-fit"
"argument","data","ferx_inits_from_nca","05-first-fit"
"argument","method","ferx_inits_from_nca","05-first-fit"
"export","ferx_iovsearch","","09-model-selection"
"argument","model","ferx_iovsearch","09-model-selection"
"argument","data","ferx_iovsearch","09-model-selection"
"argument","search_space","ferx_iovsearch","09-model-selection"
"argument","config","ferx_iovsearch","09-model-selection"
"argument","column","ferx_iovsearch","09-model-selection"
"argument","distribution","ferx_iovsearch","09-model-selection"
"argument","groups","ferx_iovsearch","09-model-selection"
"argument","block_retries","ferx_iovsearch","09-model-selection"
"argument","rank","ferx_iovsearch","09-model-selection"
"argument","cutoff","ferx_iovsearch","09-model-selection"
"argument","threads","ferx_iovsearch","09-model-selection"
"argument","retries","ferx_iovsearch","09-model-selection"
"argument","directory","ferx_iovsearch","09-model-selection"
"argument","resume","ferx_iovsearch","09-model-selection"
"argument","progress","ferx_iovsearch","09-model-selection"
"export","ferx_load_fit","","13-reproducibility"
"argument","path","ferx_load_fit","13-reproducibility"
"export","ferx_model","","04-model-files"
"argument","data","ferx_model","04-model-files"
"argument","model","ferx_model","04-model-files"
"argument","template","ferx_model","04-model-files"
"argument","path","ferx_model","04-model-files"
"argument","overwrite","ferx_model","04-model-files"
"argument","edit","ferx_model","04-model-files"
"argument","print","ferx_model","04-model-files"
"export","ferx_model_edit","","04-model-files"
"argument","path","ferx_model_edit","04-model-files"
"argument","dest","ferx_model_edit","04-model-files"
"argument","overwrite","ferx_model_edit","04-model-files"
"argument","save_as","ferx_model_edit","04-model-files"
"argument",".editor","ferx_model_edit","04-model-files"
"export","ferx_model_get_section","","04-model-files"
"argument","x","ferx_model_get_section","04-model-files"
"argument","section","ferx_model_get_section","04-model-files"
"argument","strip","ferx_model_get_section","04-model-files"
"export","ferx_model_inspect","","04-model-files"
"argument","path","ferx_model_inspect","04-model-files"
"export","ferx_model_set_section","","04-model-files"
"argument","x","ferx_model_set_section","04-model-files"
"argument","section","ferx_model_set_section","04-model-files"
"argument","lines","ferx_model_set_section","04-model-files"
"export","ferx_model_show","","04-model-files"
"argument","path","ferx_model_show","04-model-files"
"export","ferx_model_to_frem","","17-covariates"
"argument","model","ferx_model_to_frem","17-covariates"
"argument","data","ferx_model_to_frem","17-covariates"
"argument","covariates","ferx_model_to_frem","17-covariates"
"argument","output_dir","ferx_model_to_frem","17-covariates"
"argument","output_model","ferx_model_to_frem","17-covariates"
"argument","output_data","ferx_model_to_frem","17-covariates"
"argument","fit","ferx_model_to_frem","17-covariates"
"export","ferx_model_validate","","04-model-files"
"argument","path","ferx_model_validate","04-model-files"
"argument","data","ferx_model_validate","04-model-files"
"export","ferx_modelsearch","","09-model-selection"
"argument","model","ferx_modelsearch","09-model-selection"
"argument","data","ferx_modelsearch","09-model-selection"
"argument","search_space","ferx_modelsearch","09-model-selection"
"argument","config","ferx_modelsearch","09-model-selection"
"argument","algorithm","ferx_modelsearch","09-model-selection"
"argument","iiv_strategy","ferx_modelsearch","09-model-selection"
"argument","rank","ferx_modelsearch","09-model-selection"
"argument","cutoff","ferx_modelsearch","09-model-selection"
"argument","threads","ferx_modelsearch","09-model-selection"
"argument","retries","ferx_modelsearch","09-model-selection"
"argument","directory","ferx_modelsearch","09-model-selection"
"argument","resume","ferx_modelsearch","09-model-selection"
"argument","progress","ferx_modelsearch","09-model-selection"
"export","ferx_predict","","11-simulation"
"argument","model","ferx_predict","11-simulation"
"argument","data","ferx_predict","11-simulation"
"argument","fit","ferx_predict","11-simulation"
"export","ferx_predict_survival","","22-time-to-event"
"argument","model","ferx_predict_survival","22-time-to-event"
"argument","data","ferx_predict_survival","22-time-to-event"
"argument","times","ferx_predict_survival","22-time-to-event"
"argument","fit","ferx_predict_survival","22-time-to-event"
"export","ferx_runlog","","06-estimation-methods"
"argument","fit","ferx_runlog","06-estimation-methods"
"argument","gradient_tol","ferx_runlog","06-estimation-methods"
"argument","show_iterations","ferx_runlog","06-estimation-methods"
"argument","verbose","ferx_runlog","06-estimation-methods"
"export","ferx_runlog_iters","","06-estimation-methods"
"argument","fit","ferx_runlog_iters","06-estimation-methods"
"argument","verbose","ferx_runlog_iters","06-estimation-methods"
"export","ferx_ruvsearch","","09-model-selection"
"argument","model","ferx_ruvsearch","09-model-selection"
"argument","data","ferx_ruvsearch","09-model-selection"
"argument","config","ferx_ruvsearch","09-model-selection"
"argument","groups","ferx_ruvsearch","09-model-selection"
"argument","p_value","ferx_ruvsearch","09-model-selection"
"argument","skip","ferx_ruvsearch","09-model-selection"
"argument","max_iter","ferx_ruvsearch","09-model-selection"
"argument","cwres_prescreen","ferx_ruvsearch","09-model-selection"
"argument","threads","ferx_ruvsearch","09-model-selection"
"argument","retries","ferx_ruvsearch","09-model-selection"
"argument","directory","ferx_ruvsearch","09-model-selection"
